company_name,funding_citations
vanquish oncology inc (inactive),https://vanquishoncology.com/company/
spectranetics corp,https://www.philips.com/a-w/about/news/archive/standard/news/press/2017/20170809-philips-completes-acquisition-of-the-spectranetics-corporation.html
nordisk rebalance a/s,https://se.linkedin.com/company/nordic-rebalance
enveric biosciences inc,https://finance.yahoo.com/quote/ENVB/
ananda scientific inc,https://tracxn.com/d/companies/ananda-scientific/__LqNO5wEFIKOHYss9RrDZevB1WPv8GD6VIIy5RgwEMEE
dracen pharmaceuticals inc,https://www.linkedin.com/company/dracen-pharmaceuticals-inc
clerkenwell health,https://uk.linkedin.com/company/clerkenwell-health
vasa therapeutics sp zoo,https://www.newswise.com/articles/vasa-therapeutics-announces-upcoming-presentations-at-aha-scientific-sessions-2022
rest therapeutics sas,https://cordis.europa.eu/project/id/101144958
island pharmaceuticals ltd,https://au.linkedin.com/company/island-pharmaceuticals
signpath pharma inc,https://www.linkedin.com/company/signpath-pharma-inc-
promore pharma ab,https://www.biospace.com/promore-pharma-ab-intends-to-carry-out-a-reverse-acquisition-of-pmd-device-solutions-ab
umecrine cognition ab,https://www.crunchbase.com/organization/umecrine-cognition
synthorx inc,https://www.sanofi.com/en/media-room/press-releases/2020/2020-01-23-13-52-33-1974331
inhibitex llc,https://drug-dev.com/inhibitex-to-be-acquired-by-bristol-myers-squibb-for-2-5-billion/
urcc ncorp research base,https://prevention.cancer.gov/funding-and-grants/funded-grants/UG1CA189961
elgan pharma ltd,https://synapse.patsnap.com/organization/6f5ce46f7316df7543bc1e77a94fa66b
advantage therapeutics inc,https://finance.yahoo.com/news/advantage-therapeutics-awarded-2-5-124300733.html
privo technologies inc,https://www.linkedin.com/company/privo-technologies
quadram institute bioscience,https://uk.linkedin.com/company/quadram-institute
vgi health technology limited,https://www.pittstreetresearch.com/vgi-health-technology
vgi health technology ltd,https://www.pittstreetresearch.com/vgi-health-technology
cyclo therapeutics inc,https://www.linkedin.com/company/cyclotherapeutics
duke street bio ltd,https://www.crunchbase.com/organization/duke-street-bio
forbius,https://www.linkedin.com/company/forbius
celtic biotech iowa inc (inactive),https://en.wikipedia.org/wiki/Spotlight_Innovation
resother pharma aps,https://tracxn.com/d/companies/resother-pharma/__a4VsdF_gcx0EsPl_Pg8KoXLURPMVi-9LfRHY9mTqgf8
longboard pharmaceuticals inc,https://www.lundbeck.com/us/newsroom/2024/lundbeck-to-acquire-longboard-pharmaceuticals-in-a-strategic-deal
remegen co ltd,https://www.remegen.com/
remegen co ltd,https://www.remegen.com/
cantargia ab,https://www.linkedin.com/company/cantargia-ab/
"palvella therapeutics, inc",https://www.stocktitan.net/news/PVLA/u-s-food-and-drug-administration-awards-year-two-proceeds-from-uy95g7vt6r8f.html
guangzhou egg biotechnology co ltd,https://www.newtbdrugs.org/content/guangzhou-egg-biotechnology-co-ltd
celtic biotech iowa inc,https://ie.linkedin.com/company/celticbiotech
medivir ab,https://se.linkedin.com/company/medivir
yaqrit ltd,https://uk.linkedin.com/company/yaqrit-ltd
strekin ag (inactive),https://www.startupticker.ch/en/news/strekin-s-development-candidate-obtains-eu-orphan-drug-designation
immupharma plc,https://www.immupharma.co.uk/
antev ltd,https://finance.yahoo.com/news/medicus-pharma-ltd-completes-acquisition-113000757.html
phoenicis therapeutics inc,https://tracxn.com/d/companies/phoenicis/__NGlqPWDN-KpVtkniBepTsmPfS-pmdQfUmfY53Hzu6c0
provention bio inc,https://www.sanofi.com/en/media-room/press-releases/2023/2023-03-13-06-00-00-2625367
