Company Name,Sector,Funding,Funding Citations,AI Enabled,Category
ImmunoKey,Biotechnology,"ImmunoKey has not yet raised any funding rounds as of June 23, 2025. The company was shortlisted for the BioCap 2025 Pitching Competition, which is for companies seeking at least £250k in funding. ImmunoKey was also selected to join the Bruntwood Life Science Accelerator 2025 cohort in March 2025, a program designed to provide mentorship, strategic business support, and access to funding networks.",tracxn.com: https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEq3xuNihmPZKICtCq1K-0abAverd26UC3tIYIj4rzIFSlctU4c2jbGPozOcv8uyZLSByWIQKDEp3HckwAzSnb7BEU2lv5KtQ-oSBn4WSUrIeGbBj4cODcxzuvAlCwlSbjQrBgivNVEtU0M09rxE1arB7I_4jc0KceKzmMJYV0txxhKaLw9AtyKF6wGURchrRtN | bionow.co.uk: https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQH6eCi3obmgTaoZZNXgej7WkrpX5NGr4xBGeusyPrmObecnSS7fBCjajZ4QmBuVbOO3uGnBDWqvgWfd2EI3Gn-MyKYRlBQB74YJTC57ztET9l4il5qX_AYiXUGcR_bErXjPaY09sNObsgLDCC43ULsq_dTTorzqBvqFkr0jAVI0tO-bYYUvnDDt24np0E9NhUCUxKg-sHHv-fcgJv_iV816KLfG | immunokey.co.uk: https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHNZMMlRfpCOrVXs7RH--vLvkyWkf_dtwJUryViqpRqEj7i5kbyfMg2luylzBUumhN3kSk2c69bdaQopRKdghKF0K35P4zyrJwEijOBLVg60XS1jpuay2A2gbS3_ag=,No,"Early Drug Discovery (Molecule Design, Pre Clinical Discovery), Pre Clinical Development (In Vitro, In Vivo)"
Janus Biotherapeutics,Biotechnology,"Janus Biotherapeutics raised a total of $2.27 million over three funding rounds. The first funding round occurred on March 7, 2011. The company has two institutional investors: Massachusetts Biomedical Initiatives and Alopexx. Specific amounts and dates for each of the three rounds, as well as the types of funding rounds (e.g., Series A, B, C), are not available.",tracxn.com: https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFrS95uYzL-Gp47ZdjP3AsoJokK3leejFnKTKtsWDeT_WSPE-bqx2l0ghafC6JpXDx5dUI0E_M7mBW6W_lmgzANBLGjGl8VFjAJgsL20rj_Bg-45fDei-VPqwpquUCBcz-y7_ZEFMCpHkfCBTxJvLBwWM3HGUR30BYrjyFxWvX_lyPnPJv9qNPywYMJUuUbVQ6IG20DSqyUv9KenxI=,No,"Early Drug Discovery (Molecule Design, Lead Optimization), Pre Clinical Development (Pre Clinical Candidate Selection)"
Lantern Pharma,"Biotechnology, Pharmaceuticals",N/A,tracxn.com: https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHhKxzoYxev_pthLRr0AlJnQM5aa-B6mfTYWXR1-K3I_tdOSuAUL7Ou9dIq8JucylFhkmQOktrbT_lYWeb59T-amT5DvZ19fGO9ntMdw3LCpXyvJphHvTWZP9PB8qgBxYvtjzrNaMQLNUuLd5zvZ3DHqzsi46R-2FBudYPNJ9Vdyucfn6Li9jDtgfBi5029UUG1huniui54gEFzQlxdbTKjFo2cRswMYEo5Rmya | tracxn.com: https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQF1HmhH_LL3qdsIUy5dTfuDXJBfZKPV34NcEILtzn5UwjDKabx4gg-nkNxJD-2azZR7d38uioCYQ8zyBLXh0ARTPXHhaAkngAaVi8a7aMlQPIc9byFmq8pTaPg0NcUXsohBKQSCgU_ZxYf2Nd_kQ-MWDtvJxCM2_eGNHXvr1Xosi5dwTIC0uzLp4mLeewbE5W_1J1TIjJ4= | dallasnews.com: https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQF6n4XuLS57JL0WSp6zgzF5uvsk3mtaGLa9Kj2tMgIT6gcdVqsd_pFH3Zj6WGoEG-Q1TBg6plgoTbs9RxiXXcb61uXXD2y_Bsuib8B3q4LNLQhBAKD8egBT7OdwxJUoqXGaLzQS93fP-v5FPjzfKQGqMHLjsBke8JX4hYDvIpxfH9ky91D9jjpEqeVkCNJ_b-viFkHLKV_c9EmFmf8ZsJiQFtsIBpNQ4LyRR6OVS_nLG4cbaQitHjlUjQe0z7Zewv08aAC4r6HxwtQcrAet,Yes,N/A
Kaida BioPharma,N/A,N/A,mdpi.com: https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEC9BkzaV5Bm7dhFQOJGui0__5PnO0m06JpTHmCoYWND7iIvtWzUQTMRBruUwe9zNoWZ5OpU-b1ue4Iff36-3lo63MVai3RGhtLXqisshktPhF5XSXaYTlrbxH9QvXOUI0frqcK,N/A,N/A
Up Therapeutics,N/A,N/A,N/A,N/A,N/A
"TMS .,",N/A,N/A,biospace.com: https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFAkMru-hN7jVU-ROYQgZUlzoi8BqMQ6MRhW6CHkJ-_WlftMsm6keOtrZ9jpC2TRKNauiIXC2lKNkeBVPuUFlx_rPi2AibM9V8Uy3FchKQB3ccVScMPx7RiRgnyozl88_fe385_fI2VTWo-aIYdiCMyJr_oNW_WeRFPkHRD872ds0ZZAfTuq50m_YE6jXyxQ2KaIHNF0ioHc4Pq78I5hMI-wY0aviIcWTUoyu8IK--vRvZ7Mq1tikmLK_KrEKRl7JMcQ40KpM0ShEUg-jHLTPT3GTqNT36SHHPL9L1v2eKH75jstpK5Qnc= | investing.com: https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHSB_T0l_IzIMxkhSQfxYAo_slKOIuQCcXMh8fIoiomH5wMlZCs9RUa3b1AI_lsete4nmKsPnk4WcrKA1rkZ7HhonCy4xhvg8O9UNghHsM6TZjLoxzMyosbXRxfLqs3OWwFc9rkvcg2oITIZS-7hiMSM-VQbMgOFCZQMG3u7A_NhAU7tTWPNXPEoyl0iVxIu2Z_NY81YnUkl3dcCo_f6hBnyytmYVMtlEQNiUTO3kG8mVaEHW-0awfo | gurufocus.com: https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEcwllXyWUWexXe3EmgSqxB0DFnBO-4T9A9LMRVTF5EoMcsUKZIlnzQfsDidU8i8NoYQ7E2fStQ6bhNf7E41FeHLpb1ZFQMSXa8LuVwgB2Ka6lmOZn8AXpHrYAlC6gY4oh4tEbaHAP-zbGVMiJsjS22EYPIXpChNwJKiH4Oj6Sina_INATDeHX8RmaXgtM74g9xizlHtZ3fTPQX9G2U_fvOsX94Uk877Lhi,N/A,N/A
Adaptimmune,"Biotechnology, Pharmaceuticals",N/A,adaptimmune.com: https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGUfgabyim9JZtPwESHP8ah3wURBEUVC5FYwql3-WoGs2T7LwxhoVTTIgS3L3gjPV72BpBbhelRNztpisCCRqYI1AgR7hDoYTtnCPRc3iB-1CsDUDSogtvTc-_OluwouCTpURbMdxLAdsBH7aHrsytiJ6hPhoP3akegBDcVR6gqsAUGYC-TVB3EPFDjl0LeF85c8Lcfz2nHlbBye3w9j_tgH0nQ26iA4Rg23YezhV6BJB-DOAVJipxztkdS0YokW6HJy2dxWy5pg8vT | adaptimmune.com: https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEvFtjL5mDCe02hJAUfYIIECxLfcjrpWrHUmnqScjbDA81m2aYuaXkGW40oAnqdBRkSxlbKTGng-aXOSEY7eylIwDuinowYpDQInqOCp_FNHopRH8cncxv_vEn_TKrnnjw6YdO4i10s6ZTFnuvvu9fOVrs21dHJyal_wjwjUEhCYizS2i5jWjriMd8cwIwqfQ==,No,"Pre Clinical Development, Other (Clinical Development, Commercialization)"
IMMvention,"Biotechnology, Pharmaceuticals",$41.6 million,pitchbook.com: https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGUiLE_oNg672yvYuJYv2ITYV5phVbc_GrLt8vZV_e1vHqRZfgzkDe8V2zR0WqnpLPoRyvMVNF4LLhcJRbVP79X54po8SizxTGs0EjZb_S68WGr_tIasGNbtx5rH_0wNE5YPx65qPCJrhBe | fundz.net: https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQF71a1PNfzt_jb3HrH36i1Sbmak6TPPyTaZqd5iWxW1vhEzke7FXoOTLQYSdEAEByogt5gfSxrAfXQ3yLBFUZnvb3_f13CMczzqnkGbpWYJIHM_R_efeAQ4am5Zb56BWthse9i6iDiEegFI-C6TH0UoqgQvGWqRjeo7RUNZgxZJmoV8Iiw= | globenewswire.com: https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFIxMIxqHPoJQ_NoekllRCFYU9h6LrdaSNKvMT8dwqdqB8adNQMYslvXD858bkW3RAByGzB8tjToqS9g3eupAWWm4eLGoURVFoJfyLUDg_nLF_5IWOZutJVhxmSaO5g-WD36RrjXWYBV5NkpBvkh4ZH-ZBonOyqfhqi6lUW-aVrGGTQaKfMuuxOcy3o7o1gcIDBPkd6cOiQ97W1Auddw0CnKBG1YYl_utbpe_O_kYnDbfHpM0qPUHWdtRuyE0bzToEiNYONIxXcNAYrl0BJXn-3p3XzgcJWseFk5G4C3LqgW6m6FLICY81wHx5je-hOWENP-dy2dC5HfNijRlsDxD7l6gUAe_iaJTfp4BwicLc2qMagFR0hTdE=,No,"Early Drug Discovery (Molecule Design, Pre Clinical Discovery), Pre Clinical Development (Pre Clinical Candidate Selection)"
Arum Therapeutics,Pharmaceuticals,"N/A (The company was founded in 2019, but specific funding rounds, amounts, investors, and dates are not publicly available in the search results)",arumtherapeutics.com: https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGLuNjRK6cyIBkocdMZPqefJk8olF-x4ADdRM7TvT-sMDbPaafsVvGHpyiefASxcreiNl3dRhGb5tOxuGFBJx1hJJOVH6K931kiGjrzEKHsLnfVmI8sPiKTRye4qrI= | preqin.com: https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFjbFFN7Oo1HyoBtaxIULIBIc8pdMBIl8wLbLz46_4wPPBlXCZ0L7aoSZvHNblddV87LKo-9sDRjLcQJNsHbOY0rOP1ALiJWapTJdfOVl936ap_Tve2mZ3jrUEwMhZDbyLOhCo22goGRXZ4RB0BCc5anCt3h_EqV2zaE9XOoZdGgs4= | pitchbook.com: https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGSRa2CEpXswRFJDiUyrie2pYOJwHdZgLgMS3c__U8iTuclbhEBKI651Ds1PYsgjR8Tx9nmgm0OY2vOn-LCzSLNK6GhpJH1n229-KtJKFhmTjfm-8jP-LfoE1mg1UApo0EMuU8vRSDZwBAq7A==,No,"Early Drug Discovery (Molecule Design, Pre Clinical Discovery), Pre Clinical Development (In Vitro, In Vivo)"
Enigma Therapeutics,"Biotechnology, Pharmaceuticals, Contract Research Organization (CRO)","Enigma Therapeutics is actively seeking governmental funding and investors. However, specific funding rounds (e.g., Series A, B, C, IPO), amounts, and investor names are not publicly available for the current entity.",tidescalling.com: https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQE_3IYdyG_PXgmBP4qzBk2ix2zEHhvg_FrvuZIJC4rCnc0UUgPjlAgp-tpdsfvBtDgzDUbQQ-nyCVNaHzCjB4dd8YJemcawUQzm5Rt3Ax3J1g6_HMv0nX8zSkNVNfeNo-UeKhwxxPjaRuVULAmN8oBO43dflto=,No,"Early Drug Discovery (Hit Discovery, Molecule Design, Pre Clinical Discovery)"
