company_name,sector,funding,funding_citation,ai_enabled
a2 biotherapeutics inc,Biotechnology,Series C,https://www.businesswire.com/news/home/20250108230204/en/A2-Biotherapeutics-Closes-%2480-Million-Series-C-Financing-to-Advance-Clinical-Development-of-Its-Precision-Cell-Therapies-Using-Its-Proprietary-Tmod-Technology-Platform,No
ahepa university hospital,Healthcare,Not Found,Not Found,No
ahs cancercontrol alberta,Healthcare,Not Found,Not Found,No
apeiron biologics ag,Biotechnology,$100M,https://investor.ligand.com/news-and-events/press-releases/news-details/2024/Ligand-to-Acquire-APEIRON-Biologics-AG-for-100-Million/default.aspx,No
ar-med llc,Medical Device,Not Found,Not Found,No
avrobio inc,Biotechnology,$60M,https://leadiq.com/c/avrobio/5a1dac332300005300a16398,No
aarhus university hospital,Healthcare,DKK 313 million,https://www.en.auh.dk/,No
abclon inc,Biotechnology,Not Found,Not Found,No
abata therapeutics,Biotechnology,Corporate round,https://www.crunchbase.com/organization/abata-therapeutics,No
abelzeta inc,Biotechnology,Not Found,Not Found,No
abeona therapeutics inc,Biotechnology,$75.0M,https://www.linkedin.com/company/abeonatherapeutics,No
abramson cancer center,Healthcare,$23M institutional investment,https://www.cancer.gov/research/infrastructure/cancer-centers/find/upennabramson,No
academic center for education culture and research,Higher Education,Not Found,Not Found,No
acepodia inc,Biotechnology,Not Found,Not Found,No
acer therapeutics inc,Pharmaceutical,$1.0M,https://www.linkedin.com/company/acer-therapeutics-inc,No
acesostem biostrategies inc,Biotechnology,Not Found,Not Found,No
achilles therapeutics plc,Biotechnology,US$ 4.1M,https://uk.linkedin.com/company/achillestx.com,No
actitrexx gmbh,Biotechnology,Between €2.5 million-5 million,https://www.eu-startups.com/directory/actitrexx/,No
adaptimmune therapeutics plc,Biotechnology,$106M,https://www.foresitecapital.com/portfolio/adaptimmune-therapeutics-plc/,No
aderans research institute,Biotechnology,Incubator/Accelerator,https://www.cbinsights.com/company/aderans-research-institute,No
adicet bio inc,Biotechnology,Not Found,Not Found,No
adventhealth,Healthcare,Not Found,Not Found,No
aeglestem therapeutics,Biotechnology,$3.0M,https://www.crunchbase.com/organization/aegle-therapeutics,No
aesculap ag & co. kg,Medical Devices,Not Found,Not Found,No
aesculap biologics llc,Regenerative Medicine,Not Found,Not Found,No
amniotics ab,Biotechnology,SEK 60 million,https://www.biospace.com/stem-cell-therapy-company-amniotics-raises-sek-60-million-before-deduction-of-transaction-costs-in-first-north-ipo-to-advance-lead-candidate-pulmostem-into-clinic,No
amphera bv,Biotechnology,€12.5M,https://www.euroquity.com/en/company/amphera-bv,No
ankara university technopolis,Biotechnology,Not Found,Not Found,No
ann & robert h lurie children's hospital of chicago,Healthcare,$3.7M,https://www.linkedin.com/company/ann-and-robert-h-lurie-children's-hospital-of-chicago,No
anocca ab,Biotechnology,$46M,https://www.contractpharma.com/breaking-news/anocca-raises-46m-to-advance-clinical-trial-targeting-pancreatic-cancer/,No
