company_name,website_timestamp,preclinical_stage,drug_molecule,target,classification,small_molecules,small_molecules_keyword,small_molecules_source_url,peptides,peptides_keyword,peptides_source_url,proteins,proteins_keyword,proteins_source_url,antibodies,antibodies_keyword,antibodies_source_url,antibody_conjugates,antibody_conjugates_keyword,antibody_conjugates_source_url,fusion_proteins,fusion_proteins_keyword,fusion_proteins_source_url,nucleic_acid_therapeutics,nucleic_acid_therapeutics_keyword,nucleic_acid_therapeutics_source_url,gene_cell_therapies,gene_cell_therapies_keyword,gene_cell_therapies_source_url,vaccines,vaccines_keyword,vaccines_source_url,protein_degraders,protein_degraders_keyword,protein_degraders_source_url,other_modalities,other_modalities_keyword,other_modalities_source_url
aurigene oncology,Error: can't compare offset-naive and offset-aware dateti,Yes,AUR112,Relapsed advanced lymphoma,Small molecule,Yes,Small Molecules,https://in.linkedin.com/company/aurigene-oncology,Yes,Peptides and Peptidomemitics,https://in.linkedin.com/company/aurigene-oncology,No,,,Yes,Antibodies,https://in.linkedin.com/company/aurigene-oncology,No,,,No,,,No,,,Yes,Cell therapy,https://in.linkedin.com/company/aurigene-oncology,No,,,Yes,Targeted protein Degradation,https://in.linkedin.com/company/aurigene-oncology,No,,
bharat biotech,16-10-2025 06:32,Yes,AV0328,"Poly N-acetyl glucosamine (PNAG) for bacterial, fungal, and parasitic infections",Synthetic vaccine,No,,,Yes,"India’s first recombinant Epidermal Growth Factor (REGEN-D®) to combat diabetic foot ulcers, burns",https://in.linkedin.com/company/bharat-biotechil,Yes,Process for the preparation and purification of recombinant proteins,https://www.bharatbiotech.com/r&d_pipeline.html,No,,,No,,,No,,,No,,,No,,,Yes,manufacture of vaccines and bio-therapeutics,https://in.linkedin.com/company/bharat-biotechil,No,,,No,,
23 century clinic,16-10-2025 05:36,Yes,RNDP-001,Dopamine neuron replacement for idiopathic and inherited forms of Parkinson's disease,iPSC-derived dopamine progenitor therapy,No,,,No,,,Yes,ALT803 is considered by NCI to be the most promising interleukin-based drug to cure cancer.,https://23chealthcare.com/about-us/,Yes,In the development of antibodies to major histocompatibility complex (RBC) receptor-recognition R&D platforms.,https://23chealthcare.com/about-us/,No,,,No,,,No,,,Yes,"MCAR-T and MCAR-NK cell therapies are more effective than the conventional CAR-T, TCR-T.",https://23chealthcare.com/about-us/,No,,,No,,,Yes,Advanced immune cell therapy technology.,https://23chealthcare.com/about-us/
nexcella inc,"Error: Connection failed - HTTPSConnectionPool(host='www.cirm.ca.gov', port=4",Yes,NXC-201,BCMA for relapsed/refractory AL Amyloidosis,CAR-T cell therapy,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,CAR-T cell therapy,https://www.cgtlive.com/view/immix-nexcella-make-progress-us-trial-light-chain-amyloidosis-car-t-nxc-201,No,,,No,,,No,,
targazyme inc,10-10-2023 06:40,Yes,TZ 101,"Enhancing the efficacy and safety of hematopoietic stem cell transplantation (HSCT) for late-stage blood cancers, blood disorders, and autoimmune diseases",Cancer supportive care enzyme therapy,Yes,small molecule products (TZ101 and TZ102),https://www.linkedin.com/company/targazyme,No,,,Yes,clinical-grade fucosyltransferase enzymes,https://www.linkedin.com/company/targazyme,No,,,No,,,No,,,No,,,Yes,"cell therapy, immunotherapies for autoimmune diseases and cancer, stem cell transplantation, gene therapy and regenerative medicine",https://www.linkedin.com/company/targazyme,No,,,No,,,No,,
shenzhen pregene biopharma co ltd,06-04-2022 08:30,Yes,CD19/CD22-targeted CAR-T therapy,CD19 and CD22 for acute lymphoblastic leukemia (ALL),CAR-T therapy,No,,,No,,,No,,,Yes,single domain antibody-based anti-BCMA CAR-T,https://www.prnewswire.com/news-releases/pregene-enters-into-innovative-partnership-with-cellpoint-to-develop-anti-bcma-car-t-cell-therapy-in-europe-and-the-us-301518944.html,No,,,No,,,No,,,Yes,CAR-T and CAR-NK drugs with multiple targets,http://en.pregene.com/,No,,,No,,,No,,
biotherapy services ltd,24-09-2025 00:00,No,Sotorasib,KRAS G12C mutation in non-small cell lung cancer (NSCLC),Small molecule inhibitor,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,developing and delivering novel autologous regenerative therapies,https://www.icfg.net/transactions/biotherapy-services-ltd/,No,,,No,,,Yes,RAPID™ Biodynamic Haematogel,https://www.icfg.net/transactions/biotherapy-services-ltd/
carsgen therapeutics ltd,14-08-2025 20:15,Yes,Zevorcabtagene Autoleucel,BCMA (B-cell maturation protein),CAR-T therapy,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,"CAR T-cell therapies, allogeneic CAR T-cell products",https://www.prnewswire.com/news-releases/carsgen-therapeutics-announces-2025-interim-results-302529973.html,Yes,Moderna’s investigational Claudin18.2 mRNA cancer vaccine in combination with CARsgen’s Claudin18.2 CAR T cell candidate,https://www.biospace.com/employer/543068/carsgen-therapeutics,No,,,No,,
dc prime bv,No timestamp found,Yes,brensocatib,Dipeptidyl Peptidase 1 (DPP-1),Small molecule inhibitor,No,,,Yes,peptide loaded DCOne-based vaccines,https://www.bionity.com/en/companies/1040181/dcprime-bv.html,No,,,No,,,No,,,No,,,No,,,Yes,leader in the field of allogeneic dendritic cell biology,https://dcprime.com/,Yes,dendritic cell-based vaccines for a broad range of cancer types,https://www.bionity.com/en/companies/1040181/dcprime-bv.html,No,,,Yes,Oncode-PACT cancer research consortium,https://mendus.com/news/immunicum-ab-and-dcprime-combine-forces-to-establish-leader-in-cell-based-cancer-immunotherapies
abelzeta inc,2023-12-15 00:00:00,Yes,C-CAR168,CD20 and B-cell maturation antigens (BCMA),Cell surface antigens,Not specified,Bi-specific autologous CAR-T therapy,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,"CAR-T therapies, TIL therapies",https://www.linkedin.com/company/abelzeta,No,,,No,,,No,,
