company_name,website_timestamp,preclinical_stage,drug_molecule,target,therapeutic_area,target_type,development_stage,small_molecules,small_molecules_keyword,small_molecules_source_url,peptides,peptides_keyword,peptides_source_url,proteins,proteins_keyword,proteins_source_url,antibodies,antibodies_keyword,antibodies_source_url,antibody_conjugates,antibody_conjugates_keyword,antibody_conjugates_source_url,fusion_proteins,fusion_proteins_keyword,fusion_proteins_source_url,nucleic_acid_therapeutics,nucleic_acid_therapeutics_keyword,nucleic_acid_therapeutics_source_url,gene_cell_therapies,gene_cell_therapies_keyword,gene_cell_therapies_source_url,vaccines,vaccines_keyword,vaccines_source_url,protein_degraders,protein_degraders_keyword,protein_degraders_source_url,other_modalities,other_modalities_keyword,other_modalities_source_url
aurigene oncology,Error: can't compare offset-naive and offset-aware dateti,Yes,Cenopodlin,"VISTA, V-domain Ig suppressor of T cell activation",oncology,immune checkpoint,Phase 3,Yes,Small Molecules,https://in.linkedin.com/company/aurigene-oncology,Yes,Peptides and Peptidomemitics,https://in.linkedin.com/company/aurigene-oncology,No,,,Yes,Antibodies,https://in.linkedin.com/company/aurigene-oncology,No,,,No,,,No,,,Yes,Cell therapy,https://in.linkedin.com/company/aurigene-oncology,No,,,Yes,Targeted protein Degradation,https://in.linkedin.com/company/aurigene-oncology,No,,
bharat biotech,16-10-2025 06:32,Yes,"iNCOVACC, ChAd-SARS-CoV-2-S, altSonflex1-2-3",SARS-CoV-2,infectious diseases,other,Phase 3,No,,,No,,,Yes,"India’s first recombinant Epidermal Growth Factor (REGEN-D®) to combat diabetic foot ulcers, burns",https://dcvmn.org/member/bharat/,No,,,No,,,No,,,No,,,No,,,Yes,"development and production of new or improved vaccines against severe Rotavirus Diarrhea, Malaria, Japanese Encephalitis, Rabies, Pandemic Influenza",https://dcvmn.org/member/bharat/,No,,,No,,
23 century clinic,16-10-2025 05:36,No,Not specified,Not specified,Not specified,Not specified,Not specified,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,"stem cell therapy, MCAR-T cells, NK cells",https://23chealthcare.com/about-us/,No,,,No,,,No,,
nexcella inc,"Error: Connection failed - HTTPSConnectionPool(host='www.cirm.ca.gov', port=4",Yes,AUP-16,"Disease Name, Diabetic Foot Ulcers",chronic wounds,other,Phase 2,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,CAR-T cell therapy,https://www.cgtlive.com/view/immix-nexcella-make-progress-us-trial-light-chain-amyloidosis-car-t-nxc-201,No,,,No,,,No,,
targazyme inc,10-10-2023 06:40,No,TZ 101,Not specified,"oncology, autoimmune diseases",enzyme,Phase 3,Yes,small molecule products (TZ101 and TZ102),https://www.linkedin.com/company/targazyme,No,,,Yes,clinical-grade fucosyltransferase enzymes,https://www.linkedin.com/company/targazyme,No,,,No,,,No,,,No,,,Yes,gene therapy and regenerative medicine,https://www.linkedin.com/company/targazyme,No,,,No,,,Yes,"cell therapy, immunotherapies for autoimmune diseases and cancer, stem cell transplantation",https://www.linkedin.com/company/targazyme
shenzhen pregene biopharma co ltd,06-04-2022 08:30,Yes,PRG1801,"BCMA, B-Cell Maturation Antigen",oncology,immune checkpoint,Phase 1,No,,,No,,,No,,,Yes,Nanobody Screening Platform,http://en.pregene.com/,No,,,No,,,No,,,Yes,Developing urgently needed cell and gene therapy drugs for clinical treatment,http://en.pregene.com/,No,,,No,,,No,,
biotherapy services ltd,24-09-2025 00:00,No,prexigebersen,"Disease Name, Acute Myeloid Leukemia (AML)",oncology,other,Phase 2,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,autologous regenerative therapies,https://www.icfg.net/transactions/biotherapy-services-ltd/
carsgen therapeutics ltd,14-08-2025 20:15,Yes,Satri-cel,"CLDN18.2, Claudin 18.2",oncology,other,NDA/BLA,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,CAR T-cell therapies,https://www.prnewswire.com/news-releases/carsgen-therapeutics-announces-2025-interim-results-302529973.html,No,,,No,,,No,,
dc prime bv,No timestamp found,Yes,apitegromab,"Myostatin, Latent Myostatin",neuromuscular,enzyme,Phase 3,No,,,Yes,peptide loaded DCOne-based vaccines,https://www.bionity.com/en/companies/1040181/dcprime-bv.html,No,,,No,,,No,,,No,,,No,,,Yes,allogeneic dendritic cell biology,https://dcprime.com/,Yes,dendritic cell-based vaccines,https://www.bionity.com/en/companies/1040181/dcprime-bv.html,No,,,No,,
abelzeta inc,2023-12-15 00:00:00,No,C-CAR168,"CD20, Cluster of Differentiation 20; BCMA, B-cell Maturation Antigen",immunology,immune checkpoint,Phase 1,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,"CAR-T therapies, TIL therapy",https://www.oncologypipeline.com/apexonco/cellular-biomedicine-draws-line-under-its-past,No,,,No,,,No,,
