Lead_Company,Sector,Funding,Funding_Citation,AI_Capabilities
a2 biotherapeutics inc,Biotechnology.,$80 million Series C,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQG_Eq8AphQ0ZgprUk9NSBWgJOo_7UxDPqGHikrkpk3CtG8eiheHHmmQOd_GIOD7VZW3KOXGhvbVPPlYJvN73WSzcRhOfkWlKpLEY89GX_dg6e9I8EafbsFM8yoJvBuDfs9AWoRlHv5Y2x1tc7Z08b7oD8ZBuGxmACVIXJCqhM421HmomM4pKTGH,Yes.
ahepa university hospital,Others,"AHEPA University Hospital has received recent financial support, primarily through donations for specific needs rather than traditional ""stages of funding"" as a public hospital. This includes:

*   Over $1 million in donations for COVID-19 relief.
*   Over $650,000 worth of medical supplies shipped in 2013.
*   More than €10,000 for specialized pediatric oncology equipment in 2022.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHH-MaE4S-9TcaB-F__7Ta8mKRNqMxvK4N2Rt3s0ncwwP1VsmePqJs1-5KR9TvP-RjAODiSO8WWkzOk9So7b8f_2yv__1YiP9wVIO8DJm_4sX150jIIRtaittCOmm3YfqOmUvo=,N/A
ahs cancercontrol alberta,Others.,"$27.6 million (grants distributed in F2024 by Alberta Cancer Foundation to Alberta Health Services)
$16.7 million (grants in F2023 by Alberta Cancer Foundation to Alberta Health Services)
Up to $1 million per grant (time-limited grants from the Alberta government for Cancer Research for Screening and Prevention Program Fund)",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQH4RgDkM9Mrsia0NaGrObmqrrFHpz1f61_eRXJKV4mwGv9SJbO8v9YGjt2viqXjIAQagqfXBL2fcHa5uAB8iQY7YS5bSpT03U5w9-nNCITfUTiU57Oaz-oRCz4o1mT0MDw_5Mqz_tZW2kBPCPaqs1v-EVyAp-1wyLofqJGdoPwksNuBmXJ7WXfKnw==,N/A
apeiron biologics ag,Biotechnology,APEIRON Biologics AG completed a financing round totaling EUR 17.5 million in June 2020. This funding was a combination of a rights issue with a private placement and public funding/guarantees.,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEzedRDLop3b6Mp_y5gChLhb4WjDhQHdMBqKj88KRDHnGLU86JvXDy6TjNUD7e4yBcgxnKshoPEY-ebMHir8NBfcGvn3Zjh9HMNVry-kX93jugJJ2G5KNmmeWHdSE4KSODqb_hergiZivq8GKIhrCF7OIs2LomrFaZw59g7_y4xrQoaGyb4FWPNcvfbnn6iRlPnmt8borOjLRGnqwiqUTHdVCtzDTlz,N/A
ar-med llc,N/A,AR-MED LLC has not raised any funding rounds.,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFSjYVRb63Ca7RdhTMwViFrSLDMHr_9ipTlsJ-er_kZ2a30sVSi2nChE0Fwysn6woXSbR1L93_mftfe8a-o-RdhQmWHhFMVFvBEaU0vqBce9kmBsaSU_h6DimV1lbO-ao8oZZiv81H9LIFykbYBewAz04WFVRPKdOuLup742bFRxpzqG1mb9K7AmISbYtPjC0QASYhIKdzyOEN-lg==,N/A
avrobio inc,Biotechnology,"AVROBIO Inc. was involved in a $130.7 million private placement in connection with its merger with Tectonic Therapeutic in January 2024. The combined company is expected to operate under the name Tectonic Therapeutic, Inc. Prior to this, AVROBIO's latest direct funding round was a $60.5 million Series B round on February 1, 2018.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQG7TfXg9IqCs5E85QKPRnwWvBLfrreHwm-yWYKwig4zisGEfog48E-p0ByPk__1iZ9KjsYhS2Y2NGzM0tvqRFeS-79U4TaLEfHSHXqxP2pflZML9eKlh5xmbLE2PnBfOtOz7H9u0qMjuqHnQqkE-DlDbNB7Zv19oY7j8qFmPH1IiyvGWcqC_nmonl8atYkEMn9PmupFmTFZX6GZZdEbkVWNtAypaRQtMHzSnkXNiSCKzVG2KEJl,N/A
aarhus university hospital,Others,$3.55M Grant (prize money),https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFHHdIF749cCrDpll7xjIB3g7khZDmvR5SgUJ-CL9CW7qUoNt8CdoOi5kzhp1JCa-fp8eHSFklUSG1O6n9m5jsl8MmsYGbNGsO_v3AZwYqX5gkeurL15H5mufMwqD0v3IN7z_VrbNochhz41rGwFP-4StTOCWit-kDX1yvEUUQUALQkPlBHCaKZBNwAGwh863_T8WoZlTyinkRhKoLUk6DNnVI=,Yes.
abclon inc,Biotechnology.,"KRW 12.2122 billion, Strategic Investment/Private Placement",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEvJUa-Eulb8GPwrLM5YoB3udXDMcLmDJSGiShNbs7TL1_EUgAcR590VmWRr10vQLY8TImDqNzHWAs_LB7iD_QXXYfRlBgVUsrUqJLcs6RBVric_vLMOYSutAX6F5jf0zesxTylzEznUmAOrF6dGiZ7tVH31ZYw3OOKNSdnYSStTdIfLd1u9JpqXH3cuzCSAF6FLoDIyRtXMPQ_42u_jCVG6kZA3dTNh-dH0M6i7ga9BsG5jzN4TJI1RxJPWjsA4fadHHkMuPEvzD3wf-Wd6qsZnvJYjyvd90PxxgJ24zIB8PFbT-yEwevc2Qai7w==,N/A
abata therapeutics,Biotechnology.,"Undisclosed, Series A",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGFZL-qiRfxJAfEfFxbw_XyJfVpdC_B5VNNeKAnn82WoBF25nHsCvHY6jRLhKFHj99VrgPKOWMmejpTJClJXCp6rFBr_KA-E9h2aeOayAJjUQkOsjcFCZxI889pBMo4igsJ-lc2gp0t5GlOYnrKEU2IEDZ_k1N9hPGu2UGQ0RVQIfTeKcSBuwiJ-SxDdavtC9rhgJOOopw6Jb7O7yWX-GfmsA7E,N/A
abelzeta inc,Biotechnology.,$120M Later Stage VC (Series A),https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFahD820lhXBca-sW6QousvJ2xsMolSTTNIgf2oeJ_8XWvlBqX0GAMVvy7jU9YZz81AvPJzvGfjfk0La5WlUMqURK09DsJf0pCAc6rlWengP2P0Kf6KDOv2OkdBPDabGpwzqkaUCFpAGvI=,N/A
abeona therapeutics inc,Biotechnology,"Abeona Therapeutics Inc. secured approximately $75 million through an underwritten offering of common stock and pre-funded warrants in May 2024. Previously, the company had a Post IPO funding round of $25 million on July 3, 2023.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGvxLqF0cIcIY6oG-ariFCnYLSpnmyS4z4t-6zGto952W4tYv2P8sMkaRX8kQzzNnJo5yDMGjCgjmyEd1vqdv6rAWSNJiZZ_5EfEQ84llchD_tAOXOkH1w0D1TczbduUY9irTMkgP60qMtw3j4wQwczix5qloekYHGWlTUJ-ejXPn0I5gQ5kig3b84lSwyrjHspjMXlv8PU8ze5ZOpyieSgZ-Ln2qq8hHzrSiyXwaBcJy8g-EFeUwI7J7MpdoI3JY4cI42vidNPyki4Iu_nTlFKssRdsDKUDs2A6XhL3blqI4gt6d6eU3FnLsKSeGqinZLxG7Uz6A==,N/A
abramson cancer center,Others,"$10 million, grant for preventing breast cancer recurrence
$45 million, five-year Cancer Center Support Grant from the National Cancer Institute (renewal of NIH core grant)",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHFWU0_wfAwOEU0MwEv5VK1x-GWNIerlY4BhwABowSXeGnciSOpSZo_3Ytb2-mUSrWZt9HZcHbUOXGQJiNlIeARVW4-HuTicnEk4ONYRissuyGNKnDKas9YpxzctWaiStLyd8ry1musefDKpg==,Yes.
academic center for education culture and research,Others,"I am unable to provide the latest funding amount and stage for the Academic Center for Education, Culture and Research (ACECR). My search did not yield specific information about their recent funding with corresponding amounts and stages. While ACECR is identified as an Iranian public non-governmental institution established in 1980, details regarding their latest financial backing are not publicly available in the search results.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGLPAm-U0PoqAwoo_GiSW5lwue9zzArS_Wv2g2xIUId94bV_EQWxVhZ5pcdQIFTtDZdXuAxXTDMUZH_mMPue-fUUhk4l6OGXYQ_MtRJufei0zo6ptlEdyRZP7Xl_9nQ5dgEKA==,N/A
acepodia inc,Biotechnology,$100 million Series D,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHZtzobJljNi8n-zlNM0AloiipUHJyuI7nsL0B1m3PjcbzsjMIKuU331r295oBDYc8XKcMvhendubPo459HzHUtqahruJlemqDjcRaVxyOpA5Fj44xLa4OZ83dRc7IaM4SKEnZGQ86GZN9j3-KC6PmM_xIlqMU5Gqf-aQQsBNo0yknxPHJ2ougO4m-8dJoSOiyTUl8lj0ciugGE04zFNqA-t3_RW6352d7aqM6-4A==,N/A
