company_name,sector,funding,funding_citation,ai_enabled
garvan institute of medical research,Biotechnology,Not Found,Not Found,Yes
gensight biologics sa,Biotechnology,"$4.3M, Post IPO equity",https://www.linkedin.com/company/gensight-biologics-sa/,No
genvec llc,Biotechnology,"$7.00 per share, Acquired",https://www.prnewswire.com/news-releases/intrexon-to-acquire-genvec-to-expand-industry-leading-gene-delivery-platform-300395556.html,No
genascence corp,Biotechnology,"$11.6M, Grant",https://www.linkedin.com/company/genascence-corporation,No
gene therapy research institution co ltd,Biotechnology,Not Found,Not Found,No
genecraft inc,Biotechnology,"$10B, Series A",https://www.bioworld.com/articles/704815-korean-gene-therapy-firm-genecraft-draws-10b-in-series-a,Yes
genecombio ltd,Biotechnology,Not Found,Not Found,No
grace science llc,Biotechnology,"$54M, Not Found",https://timmermanreport.com/2022/06/grace-science-turning-lemons-into-lemonade/,No
gritgen therapeutics ltd,Biotechnology,Not Found,Not Found,No
guangzhou huajin pharmaceutical technology co ltd,Biotechnology,"$10M, Series B",https://huajinpharmtech.com/gywm,Yes
guangzhou sinogen pharmaceutical co ltd,Biotechnology,Not Found,Not Found,Yes
gyroscope therapeutics holdings ltd,Biotechnology,"$800M, Acquired",https://www.novartis.com/news/media-releases/novartis-acquire-gyroscope-therapeutics-adding-one-time-gene-therapy-could-transform-care-geographic-atrophy-leading-cause-blindness,No
gyroscope therapeutics holdings plc,Biotechnology,"$800M, Acquired",https://www.novartis.com/news/media-releases/novartis-acquire-gyroscope-therapeutics-adding-one-time-gene-therapy-could-transform-care-geographic-atrophy-leading-cause-blindness,No
hangzhou jiayin biotechnology co ltd,Biotechnology,Not Found,Not Found,No
hebei eye hospital,Others,Not Found,Not Found,No
hefei starry gene biotechnology co ltd,Biotechnology,"$10M, Series A2",https://www.linkedin.com/posts/pandayu_starrygene-a-chinese-gene-therapy-company-activity-7373607432595582976-Ya9p,Yes
helixmith co ltd,Biotechnology,Not Found,Not Found,No
herantis pharma plc,Biotechnology,"$5.5M, Not Found",https://fi.linkedin.com/company/herantis-pharma-plc,Yes
homology medicines inc,Biotechnology,"$42M, Acquired",https://www.prnewswire.com/news-releases/q32-bio-announces-closing-of-merger-with-homology-medicines-and-concurrent-private-placement-of-42-million-302098557.html,No
hopital necker-enfants malades,Others,Not Found,Not Found,No
hospital center lisbon north,Others,Not Found,Not Found,No
huidagene therapeutics co ltd,Biotechnology,Not Found,Not Found,Yes
icm co ltd,Biotechnology,Not Found,Not Found,Yes
ilya pharma ab,Biotechnology,"$10M, Grant",https://www.crunchbase.com/organization/ilya-pharma,No
immorna hangzhou biotechnology co ltd,Biotechnology,Not Found,Not Found,Yes
imperial college london,Others,Not Found,Not Found,Yes
innovec biotherapeutics inc,Biotechnology,Not Found,Not Found,No
innostellar biotherapeutics co ltd,Biotechnology,"$10M, Series A",https://www.legendcapital.com.cn/news_en/index_mob.aspx?nodeid=45&page=ContentPage&contentid=561,No
institute of cardiology warsaw,Others,Not Found,Not Found,Yes
instituto cientifico y tecnologico de navarra,Pharmaceuticals,Not Found,Not Found,Yes
intellia therapeutics inc,Biotechnology,"$112.1M, IPO",https://en.wikipedia.org/wiki/Intellia_Therapeutics,No
interius biotherapeutics inc,Biotechnology,"$76M, Series A",https://www.baincapital.com/news/interius-biotherapeutics-raises-76m-series-financing-advance-breakthrough-cell-and-gene-therapy,No
jaguar gene therapy llc,Biotechnology,"$10M, Seed",https://deerfield.com/what-we-do/investment/portfolio/companies/jaguar-gene-therapy,No
james p. wilmot cancer center,Others,Not Found,Not Found,No
jiangsu hengrui medicine co ltd,Pharmaceuticals,Not Found,Not Found,No
jiangsu hengrui pharmaceuticals co ltd,Pharmaceuticals,Not Found,Not Found,No
juventas therapeutics inc,Biotechnology,"$107M, Series C",https://tracxn.com/d/companies/juventas-therapeutics/__5JZ4GHM003Q7TnAJOU-iTSocnI5n5B7Wo-j4LrTVZQM,No
kyorin pharmaceutical co ltd,Pharmaceuticals,"$10M, Not Found",https://www.globenewswire.com/news-release/2025/09/30/3159137/0/en/Hinge-Bio-Announces-License-and-Collaboration-with-Kyorin-Pharmaceutical-Co-Ltd-for-the-Development-and-Commercialization-of-HB2198-in-Japan-for-Autoimmune-Diseases.html,No
kelonia therapeutics inc,Biotechnology,"$50M, Series A",https://www.crunchbase.com/organization/kelonia-therapeutics,No
krystal biotech inc,Biotechnology,"$160M, Post IPO equity",https://www.linkedin.com/company/krystal-biotech-inc,No
kuopio university hospital,Others,"$65M, Not Found",https://www.eib.org/en/projects/pipelines/all/20160387,No
kyushu university,Others,Not Found,Not Found,No
kyushu university hospital,Others,Not Found,Not Found,No
l''institut mutualiste montsouris,Others,Not Found,Not Found,No
lexeo therapeutics llc,Biotechnology,"$80M, Post IPO equity",https://www.linkedin.com/company/lexeo-therapeutics,No
lexeo therapeutics inc,Biotechnology,"$80M, Post IPO Equity",https://www.linkedin.com/company/lexeo-therapeutics,No
libella gene therapeutics,Biotechnology,Not Found,Not Found,No
liveome co ltd,Biotechnology,"$5.7M, Series B",https://www.cbinsights.com/company/liveome,Yes
logicbio therapeutics inc,Biotechnology,"$2.07 per share, Acquired",https://www.astrazeneca-us.com/media/press-releases/2022/alexion-astrazeneca-rare-disease-completes-acquisition-of-logicbio-therapeutics.html,No
lysogene sas,Biotechnology,"$6.80M, IPO",https://live.euronext.com/en/ipo-showcase/lysogene,No
medical university of lublin,Others,Not Found,Not Found,No
medytox inc,Biotechnology,"$57.8M, IPO",https://www.linkedin.com/company/medy-tox-inc./,No
meiragtx holdings plc,Biotechnology,"$50M, Post IPO equity",https://www.linkedin.com/company/meiragtx,Yes
meiragtx llc,Biotechnology,"$50M, Post IPO equity",https://www.linkedin.com/company/meiragtx,Yes
moderna inc,Biotechnology,"$2B, Venture Capital",https://en.wikipedia.org/wiki/Moderna,Yes
nggt (suzhou) biotechnology co ltd,Biotechnology,Not Found,Not Found,No
nihr moorfields biomedical research centre,Biotechnology,Not Found,Not Found,Yes
nanjing gritpharma co ltd,Pharmaceuticals,Not Found,Not Found,No
nanoscope therapeutics inc,Biotechnology,Not Found,Not Found,No
nanyang medical college first affiliated hospital,Others,Not Found,Not Found,No
national institute of diabetes and digestive and kidney diseases,Others,Not Found,Not Found,No
national institute of neurological disorders and stroke,Others,"$2.03B, Not Found",https://en.wikipedia.org/wiki/National_Institute_of_Neurological_Disorders_and_Stroke,No
national taiwan university hospital,Others,Not Found,Not Found,No
nationwide children's hospital,Others,Not Found,Not Found,Yes
neuexcell therapeutics inc,Biotechnology,"$12M, Pre-A",https://www.nature.com/articles/d43747-021-00136-5,No
neuracle genetics inc,Biotechnology,Not Found,Not Found,Yes
neurocrine biosciences inc,Biotechnology,"$34.2M, IPO",https://en.wikipedia.org/wiki/Neurocrine_Biosciences,No
