company_name,website_timestamp,preclinical_stage,drug_molecule,target,therapeutic_area,target_type,development_stage,small_molecules,small_molecules_keyword,small_molecules_source_url,peptides,peptides_keyword,peptides_source_url,proteins,proteins_keyword,proteins_source_url,antibodies,antibodies_keyword,antibodies_source_url,antibody_conjugates,antibody_conjugates_keyword,antibody_conjugates_source_url,fusion_proteins,fusion_proteins_keyword,fusion_proteins_source_url,nucleic_acid_therapeutics,nucleic_acid_therapeutics_keyword,nucleic_acid_therapeutics_source_url,gene_cell_therapies,gene_cell_therapies_keyword,gene_cell_therapies_source_url,vaccines,vaccines_keyword,vaccines_source_url,protein_degraders,protein_degraders_keyword,protein_degraders_source_url,other_modalities,other_modalities_keyword,other_modalities_source_url
foundation for health research and training in the region of murcia,"Error: Connection failed - HTTPSConnectionPool(host='www.nanemiar.eu', port=4",No,Not specified,Not specified,Not specified,Not specified,Not specified,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
national center for research resources,"Error: Connection failed - HTTPSConnectionPool(host='taggs.hhs.gov', port=443",Yes,Zolgensma; Evrysdi; Spinraza; AIT-102; WNTinib; MTX-531; TRC102; TAK-243; PEPDG278D; ATX101; hJAA-F11; STEAP1,"SMN1, Survival Motor Neuron 1; SMN2, Survival Motor Neuron 2; PI3K, Phosphoinositide 3-kinase; EGFR, Epidermal Growth Factor Receptor; CTNNB1, Catenin Beta-1; HER2, Human Epidermal Growth Factor Receptor 2; GPC2, Glypican-2; STEAP1, Six Transmembrane Epithelial Antigen of Prostate 1",neurology; oncology,enzyme; other; other; other; other; other; other; other,Approved; Phase 2; Preclinical,Yes,Small Molecules,https://techtransfer.cancer.gov/investigators/research-tools,Yes,Peptides/Proteins,https://techtransfer.cancer.gov/investigators/research-tools,Yes,Peptides/Proteins,https://techtransfer.cancer.gov/investigators/research-tools,Yes,Antibodies,https://techtransfer.cancer.gov/investigators/research-tools,No,,,No,,,Yes,Nucleic Acids/Vectors,https://techtransfer.cancer.gov/investigators/research-tools,No,,,No,,,No,,,No,,
the scripps research institute,"Error: Connection failed - HTTPSConnectionPool(host='en.wikipedia.org', port=",No,Not specified,Not specified,Not specified,Not specified,Not specified,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
instituto de investigacion sanitaria marques de valdecilla,"Error: Connection failed - HTTPSConnectionPool(host='es.wikipedia.org', port=",No,Not specified,Not specified,Not specified,Not specified,Not specified,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
fondazione telethon,2022-03-30 00:00:00,Yes,etuvetidigene autotemcel; AAVB-081; AAVB-039,"NKCC1, Sodium-Potassium-Chloride Cotransporter 1; ABCA4, ATP-Binding Cassette Subfamily A Member 4; WAS gene",rare diseases; brain disorders; inherited retinal disorders; immunology,ion channels; other; other,Preclinical; Phase 1,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,advancing gene therapy,https://www.fondazionetelethon.it/en/,No,,,No,,,No,,
indian council of medical research,Error: Connection failed - HTTPSConnectionPool(host='www.indiascienceandtechn,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,Yes,drug research (including traditional remedies),https://in.linkedin.com/company/icmrorganization,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,"research on specific health topics like tuberculosis, leprosy, cholera and diarrhoeal diseases, viral diseases including AIDS, malaria, kala-azar",https://in.linkedin.com/company/icmrorganization,No,,,Yes,"food & drug toxicology, reproduction, immuno-haematology, oncology",https://in.linkedin.com/company/icmrorganization
fundacio institut d''investigacio en ciencies de la salut germans trias i pujol,"Error: Connection failed - HTTPSConnectionPool(host='es.linkedin.com', port=4",Yes,VPM1002; MTBVAC,Not specified,infectious diseases,Not specified,Phase 2,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,"During the preclinical stage, the Comparative Medicine and Bioimage Centre of Catalonia (CMCiB), a strategic project of the Germans Trias i Pujol Research Institute (IGTP), supported the project by providing its expertise and high-risk biosafety infrastructure for the evaluation of the vaccine using comparative models.",https://es.linkedin.com/company/igtp,No,,,No,,
cellular biomedicine group inc,Error: Connection failed - HTTPSConnectionPool(host='www.oncologypipeline.com,Yes,Not specified,Not specified,oncology,Not specified,Not specified,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,CAR-T and TIL therapies,https://www.abelzeta.com/,No,,,No,,,No,,
cellular biomedicine group ltd,Error: Connection failed - HTTPSConnectionPool(host='www.oncologypipeline.com,Yes,Tafasitamab,"CD19, Cluster of Differentiation 19",oncology,immune checkpoint,Phase 3,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,"CAR-T​ Chimeric Antigen Receptor (CAR)-T Cell, Tumor Infiltrating Lymphocytes (TIL)",https://www.abelzeta.com/,No,,,No,,,No,,
palisade bio inc,2025-10-16 00:00:00,Yes,PALI-210,Not specified,gastrointestinal disorders,Not specified,Clinical,Yes,"PALI-2108, our first-in-class, ileocolonic-targeted PDE4 B/D inhibitor",https://www.linkedin.com/company/palisadebio,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
"palisade bio, inc",2025-10-16 00:00:00,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,Yes,"PALI-2108, our first-in-class, ileocolonic-targeted PDE4 B/D inhibitor",https://www.linkedin.com/company/palisadebio,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
immunotech biopharm ltd,"Error: Connection failed - HTTPSConnectionPool(host='www.bioworld.com', port=",Yes,CAR-T-19 Injection,"CD19, Cluster of Differentiation 19",oncology,immune checkpoint,Phase 2,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,immune cell products for treatments of cancers; chimeric antigen receptor T (CAR-T) cell product pipeline,https://www.cnbc.com/quotes/6978-HK,No,,,No,,,No,,
mirror biologics inc,"Error: Connection failed - HTTPSConnectionPool(host='srfc.law', port=443): Ma",No,AlloStim,Not specified,oncology; infectious diseases; aging-related diseases,other,Phase 3,No,,,No,,,No,,,Yes,monoclonal antibody-coated microparticles,https://www.linkedin.com/company/mirror-biologics-inc,No,,,No,,,No,,,Yes,"non-genetically manipulated, living immune cell therapies",https://www.linkedin.com/company/mirror-biologics-inc,Yes,pan-viral vaccine to prevent elderly adults from any type of respiratory viral infection,https://www.mirrorbio.com/,No,,,Yes,living immune cells as active ingredients,https://www.linkedin.com/company/mirror-biologics-inc
shanghai bioray laboratory inc,2025-08-29 06:05:25,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,No,,,No,,,No,,,No,,,Yes,ROR1-Targeting Dual-Epitope ADC,https://www.linkedin.com/company/bioraypharm,No,,,No,,,No,,,No,,,No,,,No,,
