company_name,website_timestamp,preclinical_stage,drug_molecule,target,therapeutic_area,target_type,development_stage,small_molecules,small_molecules_keyword,small_molecules_source_url,peptides,peptides_keyword,peptides_source_url,proteins,proteins_keyword,proteins_source_url,antibodies,antibodies_keyword,antibodies_source_url,antibody_conjugates,antibody_conjugates_keyword,antibody_conjugates_source_url,fusion_proteins,fusion_proteins_keyword,fusion_proteins_source_url,nucleic_acid_therapeutics,nucleic_acid_therapeutics_keyword,nucleic_acid_therapeutics_source_url,gene_cell_therapies,gene_cell_therapies_keyword,gene_cell_therapies_source_url,vaccines,vaccines_keyword,vaccines_source_url,protein_degraders,protein_degraders_keyword,protein_degraders_source_url,other_modalities,other_modalities_keyword,other_modalities_source_url
vanquish oncology inc (inactive),"Error: Connection failed - HTTPSConnectionPool(host='vanquishoncology.com', p",No,Not specified,Not specified,Not specified,Not specified,Not specified,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
spectranetics corp,Error: can't compare offset-naive and offset-aware dateti,No,AMT-253; mecbotamab vedotin,"MCAM, Melanoma Cell Adhesion Molecule; AXL, AXL Receptor Tyrosine Kinase",oncology,other; kinases,Preclinical,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
nordisk rebalance a/s,"Error: Connection failed - HTTPSConnectionPool(host='se.linkedin.com', port=4",Yes,Semaglutide; Liraglutide,"GLP1R, Glucagon-like Peptide 1 Receptor",metabolic diseases,gpcr,Approved,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,postbiotic fermented oat gruel,https://pubmed.ncbi.nlm.nih.gov/36570171/
enveric biosciences inc,"Error: Connection failed - HTTPSConnectionPool(host='finance.yahoo.com', port",Yes,Not specified,Not specified,Not specified,Not specified,Not specified,Yes,novel neuroplastogenic small-molecule therapeutics,https://www.linkedin.com/company/envericbio,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
ananda scientific inc,"Error: Connection failed - HTTPSConnectionPool(host='tracxn.com', port=443): ",No,Nantheia A1002; Nantheia ATL5; Nantheia A1002N5S,Disease Name,neuropsychiatric disorders; opioid use disorder; PTSD; social anxiety; neuropathic pain; smoking cessation,Not specified,Phase 1,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,Liquid Structure™ Technology,https://anandascientific.com/
dracen pharmaceuticals inc,2023-09-10 00:00:00,No,Not specified,Not specified,oncology,Not specified,Not specified,Yes,leveraging immuno-metabolism to create a potential new treatment paradigm,https://www.linkedin.com/company/dracen-pharmaceuticals-inc,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
clerkenwell health,2025-10-01 08:29:23,No,PCN-101; RL-007; DMT-1002; GRX-917; KUR-101; EMP-01; RLS-01; NN-101; VLS-01,Treatment-resistant depression; Cognitive impairment associated with schizophrenia; Opioid use disorder; Generalized anxiety disorder; Post-traumatic stress disorder; Mild-traumatic brain injury,CNS; psychiatry; mental health disorders,Not specified,Preclinical; Phase 1; Phase 2,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,psychedelics-assisted medical treatments,https://psychedelicalpha.com/news/brain-scanning-technology-to-be-used-for-clinical-psychedelics-trials-in-pioneering-london-start-up-partnership
vasa therapeutics sp zoo,2025-10-13 08:42:49,Yes,VS-041,"MMPs, Matrix Metalloproteinases",cardiovascular; metabolic diseases,enzyme,Phase 1,Yes,"VS-041 is a selective, first-in-class MMP inhibitor for treatment of HFpEF and other cardiovascular indications",https://firstwordpharma.com/story/5968825,Yes,Long acting apelin peptide analogs for combination treatment with incretins in obesity patients,https://www.linkedin.com/company/vasa-therapeutics,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
rest therapeutics sas,"Error: Connection failed - HTTPSConnectionPool(host='cordis.europa.eu', port=",Yes,GR-28; Triacsin C,"REST, Repressor Element-1 Silencing Transcription Factor; SCP1, Small C-terminal Domain Phosphatase 1",oncology,enzyme,Preclinical,Yes,RST-01 targets specific NMDA receptors sub-types,https://www.linkedin.com/company/rest-therapeutics,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
island pharmaceuticals ltd,"Error: Connection failed - HTTPSConnectionPool(host='au.linkedin.com', port=4",No,ISLA-101; Galidesivir,Dengue Fever; Marburg Virus,infectious diseases,other,Preclinical,Yes,drug repurposing company,https://www.cnbc.com/quotes/ILPLF,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
signpath pharma inc,2016-02-27 00:00:00,No,LipoCurc; SPP4040,"PD-L1, Programmed Death-Ligand 1; PD-L2, Programmed Death-Ligand 2; B7, B7 Protein; IDO, Indoleamine 2,3-dioxygenase; TNF-alpha, Tumor Necrosis Factor-alpha; IL-1 beta, Interleukin-1 beta; IL-6, Interleukin-6; Interferon gamma",oncology; cardiology,immune checkpoint; cytokine; enzyme,Phase 2,Yes,"SPP4040, a lipid-based drug which is administered orally",https://signpathpharma.com/,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,"LipoCurc™, Signpath’s patented Liposomal Curcumin product",https://signpathpharma.com/
promore pharma ab,"Error: Connection failed - HTTPSConnectionPool(host='www.biospace.com', port=",No,ensereptide,"Disease Name, Scarring on skin",dermatology,Not specified,Phase 2,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
umecrine cognition ab,Error: Connection failed - 403 Client Error: Forbidden for url: https://www.c,Yes,golexanolone,"GABAA receptor, Gamma-Aminobutyric Acid Type A receptor",CNS; neuroinflammation; liver diseases; neurodegenerative diseases,nuclear receptors,Phase 2,Yes,novel small molecule GABAA receptor-modulating steroid antagonist,http://www.umecrinecognition.com/,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
synthorx inc,2020-01-23 00:00:00,Yes,THOR-707,"IL-2, Interleukin-2",oncology; immunology,cytokine,Phase 1,No,,,No,,,Yes,Synthorin is a protein optimized through incorporation of novel amino acids encoded by the new DNA base pair,https://www.linkedin.com/company/synthorx-inc-,No,,,No,,,No,,,No,,,No,,,No,,,No,,,Yes,Expanded Genetic Alphabet platform technology expands the genetic code by adding a new DNA base pair,https://www.linkedin.com/company/synthorx-inc-
inhibitex llc,"Error: Connection failed - HTTPSConnectionPool(host='drug-dev.com', port=443)",No,AdAPT-001; SRK-181; STP 707; SIS 201 CD; IOA-359; Elritercept; ISTH0036; TU-2218; AGMB-129; IO170; ES 014; SHR-1701; HEC585; RO7204239; ESN-Y,"TGF-β, Transforming Growth Factor Beta; ALK5, Activin Receptor-Like Kinase 5",oncology; fibrosis; gastrointestinal diseases,cytokine; enzyme,Phase 3; Phase 2; Phase 1,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
urcc ncorp research base,"Error: Connection failed - HTTPSConnectionPool(host='prevention.cancer.gov', ",No,Not specified,Not specified,Not specified,Not specified,Not specified,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
elgan pharma ltd,"Error: Connection failed - HTTPSConnectionPool(host='synapse.patsnap.com', po",No,evenamide,Disease Name,CNS,Not specified,Phase 3,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
advantage therapeutics inc,"Error: Connection failed - HTTPSConnectionPool(host='finance.yahoo.com', port",Yes,AD04,Not specified,CNS; neurodegenerative diseases,other,Phase 2,No,,,No,,,Yes,Klotho protein,https://advantagetherapeutics.com/,No,,,No,,,No,,,Yes,mRNA approach,https://advantagetherapeutics.com/,No,,,Yes,vaccine candidate against AD,https://advantagetherapeutics.com/,No,,,Yes,nanocarriers for repeated administration,https://advantagetherapeutics.com/
privo technologies inc,2025-05-25 22:24:33,No,Not specified,Not specified,Not specified,Not specified,Not specified,Yes,small molecules,https://www.linkedin.com/company/privo-technologies,No,,,No,,,Yes,Monoclonal Antibodies,https://www.linkedin.com/company/privo-technologies,No,,,No,,,No,,,No,,,No,,,No,,,Yes,nanotechnology-based drug delivery platform,https://www.linkedin.com/company/privo-technologies
quadram institute bioscience,"Error: Connection failed - HTTPSConnectionPool(host='uk.linkedin.com', port=4",No,Not specified,Not specified,Not specified,Not specified,Not specified,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,,No,,
